"Domain","Course Name","Course URL","Provider Platform","Course Ratings","Enrollments","Positive Reviews","Negative Reviews","Paid/Free","Instructor Experience (Years)","Course Duration","Syllabus & Content Quality","Certification Availability","Student Skill Level","Placement & Career Opportunities","Course Difficulty","Course Popularity","Hands-on Projects","Course Language","Course Mode","Avg Completion Time (hrs)","Interactive Elements","Rating Category","Career Support","Course Type (Paid/Non-Paid)"
"Software Engineering","Software Processes and Agile Practices","https://www.coursera.org/learn/software-processes","Coursera","4.6/5","150000","Well-structured","Theory-heavy","Paid","10","8 weeks","High","Yes","Intermediate","High","Medium","Moderate","Yes","English","Online","32","Coding Assignments","Intermediate","Moderate","Paid"
"Blockchain","Blockchain Basics","https://www.coursera.org/learn/blockchain-basics","Coursera","4.7/5","200000","Clear concepts","Needs more examples","Paid","15","4 weeks","Medium","Yes","Beginner","Moderate","Medium","Moderate","No","English","Online","12","Quizzes","Beginner","Limited","Paid"
"Game Development","Complete C# Unity Game Developer 2D","https://www.udemy.com/course/unitycourse","Udemy","4.8/5","400000","Fun projects","Fast-paced","Paid","10","30 hours","High","Yes","Beginner","High","Medium","Very High","Yes","English","Online","30","Game Projects","Beginner","Moderate","Paid"
"Mobile Development","The Complete Android 14 Developer Course","https://www.udemy.com/course/the-complete-android-14-developer-course","Udemy","4.6/5","150000","Hands-on learning","Some bugs","Paid","7","15 hours","Medium","Yes","Beginner","High","Medium","High","Yes","English","Online","15","App Projects","Beginner","Moderate","Paid"
"Networking","Cisco CCNA 200-301 Certification","https://www.udemy.com/course/cisco-ccna-200-301-certification","Udemy","4.7/5","250000","Exam prep great","Labs confusing","Paid","12","35 hours","High","Yes","Intermediate","Very High","Hard","High","Yes","English","Online","35","Labs","Intermediate","Strong","Paid"
"Project Management","Project Management Principles and Practices","https://www.coursera.org/specializations/project-management","Coursera","4.6/5","300000","Practical skills","Too theoretical","Paid","10","5 weeks","Medium","Yes","Beginner","High","Easy","Moderate","No","English","Online","20","Quizzes","Beginner","Moderate","Paid"
"Databases","SQL for Data Science","https://www.coursera.org/learn/sql-for-data-science","Coursera","4.6/5","400000","Clear explanations","Slow pace","Paid","8","4 weeks","High","Yes","Beginner","High","Medium","High","Yes","English","Online","16","SQL Exercises","Beginner","Moderate","Paid"
"UI/UX Design","UI/UX Web Design Using Adobe XD","https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd","Udemy","4.5/5","100000","Great for beginners","Needs more depth","Paid","6","18 hours","Medium","Yes","Beginner","Moderate","Easy","Moderate","Yes","English","Online","18","Design Tasks","Beginner","Limited","Paid"
"DevOps","DevOps Fundamentals for Beginners","https://www.udemy.com/course/devops-fundamentals-for-beginners","Udemy","4.6/5","120000","Practical tools","Setup issues","Paid","9","20 hours","High","Yes","Intermediate","High","Medium","Moderate","Yes","English","Online","20","Labs","Intermediate","Moderate","Paid"
"Robotics","Robotics: Aerial Robotics","https://www.coursera.org/learn/robotics-aerial","Coursera","4.7/5","100000","Innovative content","Math-intensive","Paid","12","4 weeks","High","Yes","Intermediate","Moderate","Hard","Moderate","Yes","English","Online","20","Projects","Intermediate","Limited","Paid"
